"","country","topic","sum","prop"
"1","Argentina","atmospheric science/meteorology",45.5067670292394,0.0269430236999641
"2","Bahamas","atmospheric science/meteorology",0.0343712090578245,0.0343712090578245
"3","Belize","atmospheric science/meteorology",2.24774311930254,0.0307910016342813
"4","Bolivia","atmospheric science/meteorology",9.14668057683331,0.0385935889317861
"5","Brazil","atmospheric science/meteorology",188.439074419312,0.03352411927047
"6","Chile","atmospheric science/meteorology",33.7244482642447,0.0316364430246198
"7","Colombia","atmospheric science/meteorology",10.7250952816615,0.0291442806566888
"8","Costa.Rica","atmospheric science/meteorology",7.43777984220511,0.0406436056951099
"9","Cuba","atmospheric science/meteorology",0.0818781311495864,0.0204695327873966
"10","Ecuador","atmospheric science/meteorology",7.56376199381959,0.0277060878894491
"11","El.Salvador","atmospheric science/meteorology",0.312284770405028,0.0390355963006285
"12","Guatemala","atmospheric science/meteorology",0.323992072979402,0.0215994715319601
"13","Honduras","atmospheric science/meteorology",0.079062810676201,0.0263542702254003
"14","Jamaica","atmospheric science/meteorology",0.0284104249823902,0.0284104249823902
"15","Mexico","atmospheric science/meteorology",75.6035838544644,0.0331013939818145
"16","Nicaragua","atmospheric science/meteorology",0.0200364298724954,0.0200364298724954
"17","Panama","atmospheric science/meteorology",5.89480140267768,0.0531063189430422
"18","Paraguay","atmospheric science/meteorology",0.652972124098515,0.0197870340635914
"19","Peru","atmospheric science/meteorology",8.43956541598057,0.0237734237069875
"20","Uruguay","atmospheric science/meteorology",2.83850213342542,0.0193095383226219
"21","Venezuela","atmospheric science/meteorology",7.76024617987371,0.0542674558033127
"22","Argentina","botany/plant biology",16.6316451206543,0.00984703677954667
"23","Bahamas","botany/plant biology",0.00310014826796064,0.00310014826796064
"24","Belize","botany/plant biology",0.188935863902255,0.00258816251920898
"25","Bolivia","botany/plant biology",0.486978125810759,0.00205476002451797
"26","Brazil","botany/plant biology",29.4500703893433,0.0052392937892445
"27","Chile","botany/plant biology",9.54820951100502,0.00895704456942309
"28","Colombia","botany/plant biology",3.260812543008,0.00886090364947825
"29","Costa.Rica","botany/plant biology",1.7604051686414,0.00961970037508964
"30","Cuba","botany/plant biology",0.00679152615889718,0.00169788153972429
"31","Ecuador","botany/plant biology",1.57128597414982,0.00575562627893708
"32","El.Salvador","botany/plant biology",0.00317010240600848,0.000396262800751059
"33","Guatemala","botany/plant biology",0.0506265325863038,0.00337510217242026
"34","Honduras","botany/plant biology",0.410406173414444,0.136802057804815
"35","Jamaica","botany/plant biology",0.00117398450340455,0.00117398450340455
"36","Mexico","botany/plant biology",19.4157216647322,0.00850075379366559
"37","Nicaragua","botany/plant biology",0.00182149362477231,0.00182149362477231
"38","Panama","botany/plant biology",3.53300735792816,0.0318288951164699
"39","Paraguay","botany/plant biology",0.0222114166953639,0.000673073233192847
"40","Peru","botany/plant biology",1.61067985816144,0.00453712636101813
"41","Uruguay","botany/plant biology",0.610901561566568,0.00415579293582699
"42","Venezuela","botany/plant biology",0.849409585645479,0.00593992717234601
"43","Argentina","animal science",29.4074118699399,0.0174111378744463
"44","Bahamas","animal science",0.00242620299231702,0.00242620299231702
"45","Belize","animal science",1.43667220905896,0.0196804412199858
"46","Bolivia","animal science",1.8851572744083,0.00795425010298859
"47","Brazil","animal science",127.777380679446,0.0227321438675406
"48","Chile","animal science",18.1788158142001,0.0170532981371483
"49","Colombia","animal science",6.13059885532628,0.0166592360199084
"50","Costa.Rica","animal science",1.77360878300991,0.0096918512732782
"51","Cuba","animal science",0.0383010837559308,0.00957527093898271
"52","Ecuador","animal science",2.47065273262034,0.0090500100095983
"53","El.Salvador","animal science",0.0158197201789293,0.00197746502236617
"54","Guatemala","animal science",0.115819623677628,0.00772130824517519
"55","Honduras","animal science",0.00679958557415665,0.00226652852471888
"56","Jamaica","animal science",0.0103310636299601,0.0103310636299601
"57","Mexico","animal science",36.5690226569473,0.0160109556291363
"58","Nicaragua","animal science",0.112932604735883,0.112932604735883
"59","Panama","animal science",0.360489482419484,0.00324765299477013
"60","Paraguay","animal science",0.253535016222232,0.00768287927946157
"61","Peru","animal science",3.38221385178443,0.00952736296277306
"62","Uruguay","animal science",5.43273906790965,0.0369574086252357
"63","Venezuela","animal science",2.65883742009023,0.0185932686719597
"64","Argentina","organic chemistry",24.1372396907591,0.0142908464717342
"65","Bahamas","organic chemistry",0.0128049602372287,0.0128049602372287
"66","Belize","organic chemistry",0.539272458563771,0.00738729395292837
"67","Bolivia","organic chemistry",0.911877768790695,0.00384758552232361
"68","Brazil","organic chemistry",91.667840863234,0.0163081019148255
"69","Chile","organic chemistry",10.8920037804925,0.0102176395689423
"70","Colombia","organic chemistry",3.20908770209091,0.00872034701655139
"71","Costa.Rica","organic chemistry",0.865485874303157,0.00472943100712108
"72","Cuba","organic chemistry",0.0369761704683263,0.00924404261708158
"73","Ecuador","organic chemistry",2.50771305225012,0.00918576209615427
"74","El.Salvador","organic chemistry",0.00705789352273243,0.000882236690341553
"75","Guatemala","organic chemistry",0.0988910854325202,0.00659273902883468
"76","Honduras","organic chemistry",0.00144038497559243,0.000480128325197476
"77","Jamaica","organic chemistry",0.00446114111293731,0.00446114111293731
"78","Mexico","organic chemistry",18.3171142403027,0.00801975229435319
"79","Nicaragua","organic chemistry",0.00910746812386157,0.00910746812386157
"80","Panama","organic chemistry",0.979912311748245,0.00882803884457879
"81","Paraguay","organic chemistry",0.50934762171954,0.0154347764157436
"82","Peru","organic chemistry",4.54241258844711,0.0127955284181609
"83","Uruguay","organic chemistry",2.28140006398768,0.0155197283264468
"84","Venezuela","organic chemistry",4.7862164696235,0.0334700452421224
"85","Argentina","biology",68.3950285835264,0.0404943922933845
"86","Bahamas","biology",0.0413802399245181,0.0413802399245181
"87","Belize","biology",4.23410784901216,0.0580014773837282
"88","Bolivia","biology",4.23584451113944,0.0178727616503774
"89","Brazil","biology",149.989694044787,0.0266838096503801
"90","Chile","biology",29.8795784679929,0.0280296233283235
"91","Colombia","biology",13.899505603146,0.0377703956607228
"92","Costa.Rica","biology",5.46514654663167,0.029864188779408
"93","Cuba","biology",0.0336104156927454,0.00840260392318634
"94","Ecuador","biology",2.07877545176884,0.00761456209439135
"95","El.Salvador","biology",0.0627587754320244,0.00784484692900305
"96","Guatemala","biology",0.520565536737665,0.0347043691158443
"97","Honduras","biology",0.00765828341013582,0.00255276113671194
"98","Jamaica","biology",0.00258276590749002,0.00258276590749002
"99","Mexico","biology",48.0163930244524,0.0210229391525623
"100","Nicaragua","biology",0.0127504553734062,0.0127504553734062
"101","Panama","biology",1.78958326874063,0.0161223717904561
"102","Paraguay","biology",0.425803658411247,0.0129031411639772
"103","Peru","biology",8.55821132468594,0.0241076375343266
"104","Uruguay","biology",5.46238204694599,0.0371590615438502
"105","Venezuela","biology",2.42840323397552,0.0169818407970316
"106","Argentina","environmental health",31.9509300867949,0.0189170693231468
"107","Bahamas","environmental health",0.000539156220514894,0.000539156220514894
"108","Belize","environmental health",0.46479283480145,0.00636702513426644
"109","Bolivia","environmental health",4.15642509471566,0.0175376586274922
"110","Brazil","environmental health",136.710157428821,0.0243213231504752
"111","Chile","environmental health",14.0112781338178,0.0131437881180279
"112","Colombia","environmental health",9.70081493872136,0.0263609101595689
"113","Costa.Rica","environmental health",1.6097042181897,0.00879619791360491
"114","Cuba","environmental health",0.267527356650701,0.0668818391626752
"115","Ecuador","environmental health",5.06501366287674,0.0185531636002811
"116","El.Salvador","environmental health",0.0206269905198715,0.00257837381498394
"117","Guatemala","environmental health",0.466515206287815,0.031101013752521
"118","Honduras","environmental health",0.00278103185819609,0.000927010619398698
"119","Jamaica","environmental health",0.00140878140408547,0.00140878140408547
"120","Mexico","environmental health",56.9463138272169,0.0249327118332824
"121","Nicaragua","environmental health",0.00364298724954463,0.00364298724954463
"122","Panama","environmental health",1.27047535732022,0.0114457239398218
"123","Paraguay","environmental health",0.077259032674835,0.00234118280832833
"124","Peru","environmental health",5.45599503897718,0.0153690001097949
"125","Uruguay","environmental health",1.86052369076413,0.0126566237466948
"126","Venezuela","environmental health",4.41306270314613,0.0308605783436793
"127","Argentina","mineralogy/petrology",19.8238554816609,0.0117370369932865
"128","Bahamas","mineralogy/petrology",0.174821404501954,0.174821404501954
"129","Belize","mineralogy/petrology",0.735605915608966,0.0100767933645064
"130","Bolivia","mineralogy/petrology",1.9819010396879,0.00836245164425276
"131","Brazil","mineralogy/petrology",58.7936429645,0.0104596411607365
"132","Chile","mineralogy/petrology",8.76158992630922,0.00821912751060902
"133","Colombia","mineralogy/petrology",2.51705167718327,0.00683981434017194
"134","Costa.Rica","mineralogy/petrology",0.705842513626816,0.00385706291599353
"135","Cuba","mineralogy/petrology",0.0430084435774549,0.0107521108943637
"136","Ecuador","mineralogy/petrology",2.12691133329091,0.00779088400472862
"137","El.Salvador","mineralogy/petrology",0.00859006693107975,0.00107375836638497
"138","Guatemala","mineralogy/petrology",0.0919474968465434,0.0061298331231029
"139","Honduras","mineralogy/petrology",0.00485882138305565,0.00161960712768522
"140","Jamaica","mineralogy/petrology",0.000704390702042733,0.000704390702042733
"141","Mexico","mineralogy/petrology",22.4625685154214,0.00983474978783772
"142","Nicaragua","mineralogy/petrology",0.00546448087431694,0.00546448087431694
"143","Panama","mineralogy/petrology",0.509544090375089,0.00459048730067648
"144","Paraguay","mineralogy/petrology",0.267825676390966,0.00811592958760503
"145","Peru","mineralogy/petrology",4.17160053528996,0.011750987423352
"146","Uruguay","mineralogy/petrology",0.879609999765394,0.00598374149500268
"147","Venezuela","mineralogy/petrology",1.43506595604089,0.0100354262660202
"148","Argentina","mathematics/statistics, general",49.1840802242741,0.0291202369593097
"149","Bahamas","mathematics/statistics, general",0.00148267960641596,0.00148267960641596
"150","Belize","mathematics/statistics, general",1.53470310339831,0.0210233301835384
"151","Bolivia","mathematics/statistics, general",7.57298161068263,0.0319535089058339
"152","Brazil","mathematics/statistics, general",176.004730933046,0.0313119962520986
"153","Chile","mathematics/statistics, general",39.6283216666148,0.0371747858035786
"154","Colombia","mathematics/statistics, general",10.5374583873419,0.0286343977916899
"155","Costa.Rica","mathematics/statistics, general",6.53917291194505,0.0357331853111751
"156","Cuba","mathematics/statistics, general",0.189750225126115,0.0474375562815288
"157","Ecuador","mathematics/statistics, general",8.18535197193189,0.0299829742561608
"158","El.Salvador","mathematics/statistics, general",0.544779230192755,0.0680974037740943
"159","Guatemala","mathematics/statistics, general",0.788240163921102,0.0525493442614068
"160","Honduras","mathematics/statistics, general",0.00357831645817161,0.00119277215272387
"161","Jamaica","mathematics/statistics, general",0.000234796900680911,0.000234796900680911
"162","Mexico","mathematics/statistics, general",74.2084799380067,0.0324905779063077
"163","Nicaragua","mathematics/statistics, general",0.00182149362477231,0.00182149362477231
"164","Panama","mathematics/statistics, general",4.17316314993943,0.0375960644138688
"165","Paraguay","mathematics/statistics, general",1.32548904963355,0.0401663348373803
"166","Peru","mathematics/statistics, general",10.886527255261,0.0306662739584817
"167","Uruguay","mathematics/statistics, general",5.28059442517428,0.0359224110556074
"168","Venezuela","mathematics/statistics, general",3.87863723694374,0.0271233373212849
"169","Argentina","statistics",86.6685862657597,0.0513135501869507
"170","Bahamas","statistics",0.00134789055128724,0.00134789055128724
"171","Belize","statistics",2.51309256550719,0.034425925554893
"172","Bolivia","statistics",7.09246191165866,0.0299259996272517
"173","Brazil","statistics",265.208875191502,0.0471817959778513
"174","Chile","statistics",51.8333893493736,0.0486241926354349
"175","Colombia","statistics",18.0211056509135,0.0489703957905257
"176","Costa.Rica","statistics",6.28527196355156,0.034345748434708
"177","Cuba","statistics",0.0302234042031954,0.00755585105079886
"178","Ecuador","statistics",16.380802868674,0.060002940910894
"179","El.Salvador","statistics",0.161649556216384,0.020206194527048
"180","Guatemala","statistics",0.584748463632759,0.0389832309088506
"181","Honduras","statistics",0.131391285685397,0.0437970952284658
"182","Jamaica","statistics",0.0122094388354074,0.0122094388354074
"183","Mexico","statistics",84.686812851193,0.0370782893394015
"184","Nicaragua","statistics",0.0109289617486339,0.0109289617486339
"185","Panama","statistics",6.44967555059804,0.0581051851405229
"186","Paraguay","statistics",1.35093306559305,0.0409373656240317
"187","Peru","statistics",10.9588463383557,0.030869989685509
"188","Uruguay","statistics",8.99563288243848,0.061194781513187
"189","Venezuela","statistics",4.63592428579713,0.0324190509496302
"190","Argentina","hydrology & water resources",319.030581042218,0.18888725935004
"191","Bahamas","hydrology & water resources",0.0354495214988543,0.0354495214988543
"192","Belize","hydrology & water resources",10.6881462494987,0.1464129623219
"193","Bolivia","hydrology & water resources",55.1327899041242,0.232627805502634
