country,type,topic,sum,prop
Belize,theme,biology,1.158679567,0.015872323
Bolivia,theme,biology,0.63182448,0.002665926
Brazil,theme,biology,54.14096055,0.009631909
Chile,theme,biology,16.25721963,0.015250675
Colombia,theme,biology,2.037863778,0.005537673
Costa.Rica,theme,biology,1.633625987,0.008926918
Cuba,theme,biology,0.008804856,0.002201214
Ecuador,theme,biology,0.763667019,0.002797315
El.Salvador,theme,biology,0.004955612,0.000619451
Guatemala,theme,biology,0.025087157,0.001672477
Honduras,theme,biology,0.001806605,0.000602202
Jamaica,theme,biology,0.000129853,0.000129853
Mexico,theme,biology,17.67213798,0.007737363
Nicaragua,theme,biology,0.002566296,0.002566296
Panama,theme,biology,0.15387595,0.00138627
Paraguay,theme,biology,0.243652176,0.007383399
Peru,theme,biology,2.734878203,0.007703882
Uruguay,theme,biology,2.292001361,0.015591846
Venezuela,theme,biology,0.589498106,0.004122364
Argentina,theme,microbiology,68.80698588,0.040738298
Bahamas,theme,microbiology,0.407166471,0.407166471
Belize,theme,microbiology,2.76327141,0.037853033
Bolivia,theme,microbiology,3.657268175,0.015431511
Brazil,theme,microbiology,209.8891811,0.037340185
Chile,theme,microbiology,27.29860959,0.025608452
Colombia,theme,microbiology,11.13359049,0.030254322
Costa.Rica,theme,microbiology,3.213940758,0.017562518
Cuba,theme,microbiology,0.395911764,0.098977941
Ecuador,theme,microbiology,3.291897507,0.012058233
El.Salvador,theme,microbiology,0.064792486,0.008099061
Guatemala,theme,microbiology,0.362189363,0.024145958
Honduras,theme,microbiology,0.003927686,0.001309229
Jamaica,theme,microbiology,0.003116478,0.003116478
Mexico,theme,microbiology,72.60752011,0.031789632
Nicaragua,theme,microbiology,0.010265184,0.010265184
Panama,theme,microbiology,2.426912937,0.021864081
Paraguay,theme,microbiology,0.273831235,0.008297916
Peru,theme,microbiology,7.503136305,0.021135595
Uruguay,theme,microbiology,7.194000722,0.04893878
Venezuela,theme,microbiology,5.140702252,0.035948967
Argentina,theme,geology,62.12952706,0.0367848
Bahamas,theme,geology,0.144395862,0.144395862
Belize,theme,geology,1.556855073,0.021326782
Bolivia,theme,geology,9.978311123,0.042102579
Brazil,theme,geology,133.5355743,0.023756551
Chile,theme,geology,41.00373301,0.03846504
Colombia,theme,geology,11.67714408,0.03173137
Costa.Rica,theme,geology,6.18401554,0.033792435
Cuba,theme,geology,0.033335584,0.008333896
Ecuador,theme,geology,8.792135386,0.032205624
El.Salvador,theme,geology,1.857350896,0.232168862
Guatemala,theme,geology,1.317765411,0.087851027
Honduras,theme,geology,0.008344084,0.002781361
Jamaica,theme,geology,0.003116478,0.003116478
Mexico,theme,geology,113.7243532,0.049791748
Nicaragua,theme,geology,0.005132592,0.005132592
Panama,theme,geology,2.475395802,0.022300863
Paraguay,theme,geology,0.983529783,0.029803933
