country,type,topic,sum,prop
Chile,theme,desalination,7.5027508,0.007038228
Colombia,theme,desalination,2.890433564,0.007854439
Costa.Rica,theme,desalination,0.89542686,0.004893043
Cuba,theme,desalination,0.065511556,0.016377889
Ecuador,theme,desalination,2.719563619,0.009961771
El.Salvador,theme,desalination,0.024580912,0.003072614
Guatemala,theme,desalination,0.096242243,0.00641615
Honduras,theme,desalination,0.004274126,0.001424709
Jamaica,theme,desalination,0.225555123,0.225555123
Mexico,theme,desalination,20.68440307,0.009056219
Nicaragua,theme,desalination,0.009409752,0.009409752
Panama,theme,desalination,0.935814929,0.008430765
Paraguay,theme,desalination,0.324420353,0.00983092
Peru,theme,desalination,2.093267315,0.005896528
Uruguay,theme,desalination,0.596723678,0.004059345
Venezuela,theme,desalination,1.24448428,0.008702687
Argentina,theme,reservoirs,6.301453164,0.003730878
Bahamas,theme,reservoirs,0.000106644,0.000106644
Belize,theme,reservoirs,0.24441431,0.003348141
Bolivia,theme,reservoirs,0.862460333,0.003639073
Brazil,theme,reservoirs,67.10770229,0.011938748
Chile,theme,reservoirs,3.103518657,0.002911368
Colombia,theme,reservoirs,1.287311505,0.003498129
Costa.Rica,theme,reservoirs,0.792280658,0.004329403
Cuba,theme,reservoirs,0.135327144,0.033831786
Ecuador,theme,reservoirs,1.211916448,0.004439254
El.Salvador,theme,reservoirs,0.085929021,0.010741128
Guatemala,theme,reservoirs,0.116420968,0.007761398
Honduras,theme,reservoirs,0.000513781,0.00017126
Jamaica,theme,reservoirs,0.000129853,0.000129853
Mexico,theme,reservoirs,12.3783462,0.005419591
Nicaragua,theme,reservoirs,0.000855432,0.000855432
Panama,theme,reservoirs,0.237924119,0.002143461
Paraguay,theme,reservoirs,0.146952317,0.004453101
Peru,theme,reservoirs,1.513926867,0.004264583
Uruguay,theme,reservoirs,0.842033932,0.005728122
Venezuela,theme,reservoirs,0.637058327,0.004454953
Argentina,theme,fuel,9.930232279,0.005879356
Bahamas,theme,fuel,0.001173083,0.001173083
Belize,theme,fuel,0.358437085,0.004910097
Bolivia,theme,fuel,1.632524536,0.006888289
Brazil,theme,fuel,73.01222805,0.012989188
Chile,theme,fuel,10.46298173,0.00981518
Colombia,theme,fuel,5.744749318,0.015610732
Costa.Rica,theme,fuel,1.385827826,0.00757283
Cuba,theme,fuel,0.033279262,0.008319815
Ecuador,theme,fuel,2.075064425,0.007600969
El.Salvador,theme,fuel,0.039929468,0.004991183
Guatemala,theme,fuel,0.058555094,0.003903673
Honduras,theme,fuel,0.005566951,0.00185565
Jamaica,theme,fuel,0.101675107,0.101675107
Mexico,theme,fuel,28.05043367,0.012281276
Nicaragua,theme,fuel,0.005988024,0.005988024
Panama,theme,fuel,0.4975042,0.00448202
Paraguay,theme,fuel,0.706295083,0.021402881
Peru,theme,fuel,5.844928754,0.016464588
Uruguay,theme,fuel,2.681123701,0.018238937
Venezuela,theme,fuel,2.005982143,0.014027847
Argentina,theme,irrigation,12.62964989,0.00747759
Bahamas,theme,irrigation,0.000319932,0.000319932
Belize,theme,irrigation,0.324237579,0.004441611
Bolivia,theme,irrigation,2.911476111,0.012284709
Brazil,theme,irrigation,70.33452247,0.012512813
Chile,theme,irrigation,17.31110808,0.016239313
Colombia,theme,irrigation,1.473051766,0.004002858
Costa.Rica,theme,irrigation,0.460098999,0.002514202
Cuba,theme,irrigation,0.013867396,0.003466849
Ecuador,theme,irrigation,2.216254606,0.008118149
El.Salvador,theme,irrigation,0.255258832,0.031907354
Guatemala,theme,irrigation,0.013116086,0.000874406
Honduras,theme,irrigation,0.074021572,0.024673857
Jamaica,theme,irrigation,0.000129853,0.000129853
Mexico,theme,irrigation,22.0454156,0.009652108
Nicaragua,theme,irrigation,0.000855432,0.000855432
Panama,theme,irrigation,0.339279978,0.003056576
Paraguay,theme,irrigation,0.044622728,0.001352204
Peru,theme,irrigation,3.183213412,0.008966798
Uruguay,theme,irrigation,1.919877343,0.01306039
Venezuela,theme,irrigation,1.094414971,0.007653252
Argentina,theme,water governance,9.165697033,0.0054267
Bahamas,theme,water governance,0.001386371,0.001386371
Belize,theme,water governance,0.924995848,0.012671176
Bolivia,theme,water governance,17.44451621,0.073605554
Brazil,theme,water governance,42.18985788,0.007505757
Chile,theme,water governance,15.38210336,0.01442974
Colombia,theme,water governance,9.133338427,0.024818854
Costa.Rica,theme,water governance,3.700053922,0.020218874
Cuba,theme,water governance,0.002757167,0.000689292
Ecuador,theme,water governance,13.41988222,0.049157078
El.Salvador,theme,water governance,0.009602607,0.001200326
Guatemala,theme,water governance,0.069142813,0.004609521
Honduras,theme,water governance,0.17662676,0.058875587
Jamaica,theme,water governance,0.035449942,0.035449942
Mexico,theme,water governance,34.42902409,0.015074004
Nicaragua,theme,water governance,0.002566296,0.002566296
Panama,theme,water governance,0.307518621,0.002770438
Paraguay,theme,water governance,2.259415633,0.06846714
Peru,theme,water governance,16.03617144,0.045172314
Uruguay,theme,water governance,0.643870307,0.00438007
Venezuela,theme,water governance,1.243270731,0.008694201
Argentina,theme,island and extreme weather,2.949252915,0.001746153
Bahamas,theme,island and extreme weather,0.001812947,0.001812947
Belize,theme,island and extreme weather,0.387985507,0.00531487
Bolivia,theme,island and extreme weather,0.208880322,0.000881352
Brazil,theme,island and extreme weather,8.259912135,0.001469474
Chile,theme,island and extreme weather,1.648848881,0.001546763
Colombia,theme,island and extreme weather,0.737791136,0.002004867
Costa.Rica,theme,island and extreme weather,0.309510553,0.001691314
Cuba,theme,island and extreme weather,0.005195562,0.001298891
Ecuador,theme,island and extreme weather,0.406977573,0.00149076
El.Salvador,theme,island and extreme weather,0.028928262,0.003616033
Guatemala,theme,island and extreme weather,0.016774573,0.001118305
Honduras,theme,island and extreme weather,0.03659595,0.01219865
Jamaica,theme,island and extreme weather,0.014673419,0.014673419
Mexico,theme,island and extreme weather,6.510247752,0.002850371
Nicaragua,theme,island and extreme weather,0.000855432,0.000855432
Panama,theme,island and extreme weather,0.334690176,0.003015227
Paraguay,theme,island and extreme weather,0.032790465,0.00099365
Peru,theme,island and extreme weather,0.444120877,0.001251045
Uruguay,theme,island and extreme weather,0.09733125,0.000662117
Venezuela,theme,island and extreme weather,0.231717283,0.001620401
Argentina,theme,land use and cover change,23.51227687,0.013920827
Bahamas,theme,land use and cover change,0.000106644,0.000106644
Belize,theme,land use and cover change,1.098363126,0.01504607
Bolivia,theme,land use and cover change,2.205775109,0.009307068
Brazil,theme,land use and cover change,72.8000052,0.012951433
Chile,theme,land use and cover change,11.50804336,0.010795538
Colombia,theme,land use and cover change,4.845179241,0.013166248
Costa.Rica,theme,land use and cover change,2.744113692,0.014995157
Cuba,theme,land use and cover change,0.003842077,0.000960519
Ecuador,theme,land use and cover change,7.863436963,0.028803798
El.Salvador,theme,land use and cover change,0.179978144,0.022497268
Guatemala,theme,land use and cover change,0.319126224,0.021275082
Honduras,theme,land use and cover change,0.009507223,0.003169074
Jamaica,theme,land use and cover change,0.000649266,0.000649266
Mexico,theme,land use and cover change,20.19240185,0.008840806
Nicaragua,theme,land use and cover change,0.000855432,0.000855432
Panama,theme,land use and cover change,2.224644707,0.020041844
Paraguay,theme,land use and cover change,0.150468861,0.004559662
Peru,theme,land use and cover change,3.296268969,0.009285265
Uruguay,theme,land use and cover change,2.107261012,0.014335109
Venezuela,theme,land use and cover change,1.751154222,0.012245834
Argentina,theme,canopy interception,4.336523174,0.002567509
Bahamas,theme,canopy interception,0.000959795,0.000959795
Belize,theme,canopy interception,0.207984223,0.002849099
Bolivia,theme,canopy interception,0.394440686,0.001664307
Brazil,theme,canopy interception,31.28406112,0.005565569
Chile,theme,canopy interception,10.42339909,0.009778048
Colombia,theme,canopy interception,4.375628649,0.011890295
Costa.Rica,theme,canopy interception,5.271079977,0.028803716
Cuba,theme,canopy interception,0.002893433,0.000723358
Ecuador,theme,canopy interception,7.376987563,0.027021932
El.Salvador,theme,canopy interception,0.04898091,0.006122614
Guatemala,theme,canopy interception,0.034826705,0.00232178
Honduras,theme,canopy interception,0.019331775,0.006443925
Jamaica,theme,canopy interception,0.00038956,0.00038956
Mexico,theme,canopy interception,18.4539057,0.008079643
Nicaragua,theme,canopy interception,0.000855432,0.000855432
Panama,theme,canopy interception,3.214799358,0.028962156
Paraguay,theme,canopy interception,0.039363731,0.00119284
Peru,theme,canopy interception,2.104545692,0.005928298
Uruguay,theme,canopy interception,0.40282446,0.002740302
Venezuela,theme,canopy interception,3.299445007,0.023073042
Argentina,theme,lakes,32.12951493,0.019022803
Bahamas,theme,lakes,0.104830969,0.104830969
Belize,theme,lakes,0.589064541,0.008069377
Bolivia,theme,lakes,4.222178793,0.0178151
Brazil,theme,lakes,49.15548194,0.008744971
Chile,theme,lakes,5.557719069,0.00521362
Colombia,theme,lakes,1.947748543,0.005292795
Costa.Rica,theme,lakes,0.785276975,0.004291131
Cuba,theme,lakes,0.028093185,0.007023296
Ecuador,theme,lakes,2.138664503,0.007833936
El.Salvador,theme,lakes,0.003969059,0.000496132
Guatemala,theme,lakes,0.350990764,0.023399384
Honduras,theme,lakes,0.003560338,0.001186779
Jamaica,theme,lakes,0.000129853,0.000129853
Mexico,theme,lakes,17.31808414,0.007582349
Nicaragua,theme,lakes,0.071000855,0.071000855
Panama,theme,lakes,0.344170541,0.003100636
Paraguay,theme,lakes,0.188375931,0.005708362
Peru,theme,lakes,2.971494569,0.008370407
Uruguay,theme,lakes,3.242306575,0.022056507
Venezuela,theme,lakes,2.724277241,0.01905089
Argentina,theme,atmosphere,11.09460993,0.006568745
Bahamas,theme,atmosphere,0.001279727,0.001279727
Belize,theme,atmosphere,0.686782568,0.00940798
Bolivia,theme,atmosphere,2.339639716,0.009871898
Brazil,theme,atmosphere,54.92196207,0.009770853
Chile,theme,atmosphere,9.225092874,0.008653933
Colombia,theme,atmosphere,3.097883739,0.008418162
Costa.Rica,theme,atmosphere,2.172241384,0.011870171
Cuba,theme,atmosphere,0.016336824,0.004084206
Ecuador,theme,atmosphere,2.261448316,0.008283693
El.Salvador,theme,atmosphere,0.024924597,0.003115575
Guatemala,theme,atmosphere,0.09105492,0.006070328
Honduras,theme,atmosphere,0.00674794,0.002249313
Jamaica,theme,atmosphere,0.000259707,0.000259707
Mexico,theme,atmosphere,15.66591951,0.006858984
Nicaragua,theme,atmosphere,0.001710864,0.001710864
Panama,theme,atmosphere,1.256741915,0.011321999
Paraguay,theme,atmosphere,0.135829176,0.004116036
Peru,theme,atmosphere,3.994540474,0.011252227
Uruguay,theme,atmosphere,1.206691869,0.008208788
Venezuela,theme,atmosphere,1.926119141,0.013469365
Argentina,theme,waste water,11.84350036,0.007012138
Bahamas,theme,waste water,0.000319932,0.000319932
Belize,theme,waste water,0.238328423,0.003264773
Bolivia,theme,waste water,3.14034731,0.013250411
Brazil,theme,waste water,134.5765673,0.023941748
Chile,theme,waste water,9.01216156,0.008454185
Colombia,theme,waste water,11.64627731,0.031647493
Costa.Rica,theme,waste water,1.118321714,0.006111048
Cuba,theme,waste water,0.340242395,0.085060599
Ecuador,theme,waste water,2.765272611,0.010129204
El.Salvador,theme,waste water,0.311508398,0.03893855
Guatemala,theme,waste water,0.086758949,0.00578393
Honduras,theme,waste water,0.00400816,0.001336053
Jamaica,theme,waste water,0.000129853,0.000129853
Mexico,theme,waste water,43.23974183,0.018931586
Nicaragua,theme,waste water,0.00427716,0.00427716
Panama,theme,waste water,0.112531441,0.001013797
Paraguay,theme,waste water,0.286182013,0.008672182
Peru,theme,waste water,0.939199667,0.002645633
Uruguay,theme,waste water,1.155562152,0.007860967
Venezuela,theme,waste water,1.530115506,0.010700108
Argentina,theme,agricultural economics,8.31503627,0.004923053
Bahamas,theme,agricultural economics,0.000959795,0.000959795
Belize,theme,agricultural economics,0.272858663,0.00373779
Bolivia,theme,agricultural economics,2.935579994,0.012386413
Brazil,theme,agricultural economics,34.34721567,0.006110517
Chile,theme,agricultural economics,20.78399988,0.019497186
Colombia,theme,agricultural economics,7.416661598,0.020153972
Costa.Rica,theme,agricultural economics,2.039252174,0.011143455
Cuba,theme,agricultural economics,0.008568234,0.002142059
Ecuador,theme,agricultural economics,7.033530517,0.025763848
El.Salvador,theme,agricultural economics,0.019607016,0.002450877
Guatemala,theme,agricultural economics,0.017384736,0.001158982
Honduras,theme,agricultural economics,0.062272544,0.020757515
Jamaica,theme,agricultural economics,0.020386963,0.020386963
Mexico,theme,agricultural economics,36.62995898,0.016037635
Nicaragua,theme,agricultural economics,0.000855432,0.000855432
Panama,theme,agricultural economics,1.058553326,0.009536516
Paraguay,theme,agricultural economics,0.294665179,0.008929248
Peru,theme,agricultural economics,5.779848391,0.016281263
Uruguay,theme,agricultural economics,0.602336931,0.00409753
Venezuela,theme,agricultural economics,0.585076462,0.004091444
Argentina,theme,surface water management,7.516774602,0.004450429
Bahamas,theme,surface water management,0.000106644,0.000106644
Belize,theme,surface water management,0.273332096,0.003744275
Bolivia,theme,surface water management,1.054959642,0.004451307
Brazil,theme,surface water management,23.79728892,0.00423364
Chile,theme,surface water management,5.864811971,0.0055017
Colombia,theme,surface water management,2.122630723,0.005768018
Costa.Rica,theme,surface water management,1.243189611,0.006793386
Cuba,theme,surface water management,0.026258965,0.006564741
Ecuador,theme,surface water management,2.005752788,0.00734708
El.Salvador,theme,surface water management,0.075331274,0.009416409
Guatemala,theme,surface water management,0.057052229,0.003803482
Honduras,theme,surface water management,0.000513781,0.00017126
Jamaica,theme,surface water management,0.000129853,0.000129853
Mexico,theme,surface water management,19.92900962,0.008725486
Nicaragua,theme,surface water management,0.009409752,0.009409752
Panama,theme,surface water management,1.376746726,0.012403124
Paraguay,theme,surface water management,0.152778294,0.004629645
Peru,theme,surface water management,2.628566837,0.007404414
Uruguay,theme,surface water management,0.71523196,0.004865524
Venezuela,theme,surface water management,0.387498317,0.002709778
Argentina,theme,glaciers,7.766467502,0.004598264
Bahamas,theme,glaciers,0.000106644,0.000106644
Belize,theme,glaciers,0.041342681,0.000566338
Bolivia,theme,glaciers,6.008824607,0.02535369
Brazil,theme,glaciers,5.201195801,0.000925315
Chile,theme,glaciers,12.19533997,0.011440281
Colombia,theme,glaciers,0.680606808,0.001849475
Costa.Rica,theme,glaciers,0.354558686,0.001937479
Cuba,theme,glaciers,0.004919913,0.001229978
Ecuador,theme,glaciers,1.594704956,0.00584141
El.Salvador,theme,glaciers,0.004932278,0.000616535
Guatemala,theme,glaciers,0.05341819,0.003561213
Honduras,theme,glaciers,0.002868161,0.000956054
Jamaica,theme,glaciers,0.000129853,0.000129853
Mexico,theme,glaciers,2.392958042,0.001047705
Nicaragua,theme,glaciers,0.000855432,0.000855432
Panama,theme,glaciers,0.163009957,0.001468558
Paraguay,theme,glaciers,0.026763879,0.000811027
Peru,theme,glaciers,8.398456143,0.023657623
Uruguay,theme,glaciers,0.096011369,0.000653139
Venezuela,theme,glaciers,0.189372321,0.001324282
Argentina,theme,basin,6.675774287,0.003952501
Bahamas,theme,basin,0.002879386,0.002879386
Belize,theme,basin,0.14180396,0.00194252
Bolivia,theme,basin,1.999066764,0.008434881
Brazil,theme,basin,25.06101881,0.004458463
Chile,theme,basin,5.165725885,0.004845897
Colombia,theme,basin,1.430520546,0.003887284
Costa.Rica,theme,basin,0.655368541,0.003581249
Cuba,theme,basin,0.01444797,0.003611992
Ecuador,theme,basin,1.046414127,0.003833019
El.Salvador,theme,basin,0.010878064,0.001359758
Guatemala,theme,basin,0.027863291,0.001857553
Honduras,theme,basin,0.001101843,0.000367281
Jamaica,theme,basin,0.000649266,0.000649266
Mexico,theme,basin,10.02558087,0.004389484
Nicaragua,theme,basin,0.00427716,0.00427716
Panama,theme,basin,0.261235607,0.002353474
Paraguay,theme,basin,0.466443828,0.014134661
Peru,theme,basin,1.73495569,0.004887199
Uruguay,theme,basin,0.84114569,0.00572208
Venezuela,theme,basin,0.94928912,0.006638385
Argentina,theme,water policy,15.95600757,0.009447015
Bahamas,theme,water policy,0.000959795,0.000959795
Belize,theme,water policy,1.8285209,0.025048232
Bolivia,theme,water policy,5.746916155,0.024248591
Brazil,theme,water policy,80.64654579,0.014347366
Chile,theme,water policy,16.03767746,0.015044726
Colombia,theme,water policy,9.183473128,0.02495509
Costa.Rica,theme,water policy,3.472237763,0.018973977
Cuba,theme,water policy,0.01788781,0.004471952
Ecuador,theme,water policy,6.936020257,0.025406668
El.Salvador,theme,water policy,0.026570994,0.003321374
Guatemala,theme,water policy,0.16288251,0.010858834
Honduras,theme,water policy,0.15972625,0.053242083
Jamaica,theme,water policy,0.112063368,0.112063368
Mexico,theme,water policy,66.95181144,0.029313403
Nicaragua,theme,water policy,0.000855432,0.000855432
Panama,theme,water policy,0.943874775,0.008503376
Paraguay,theme,water policy,1.48751367,0.045076172
Peru,theme,water policy,8.395038805,0.023647997
Uruguay,theme,water policy,1.475976748,0.010040658
Venezuela,theme,water policy,1.704777091,0.011921518
Argentina,theme,food science,8.571117686,0.00507467
Bahamas,theme,food science,0.00053322,0.00053322
Belize,theme,food science,0.371016161,0.005082413
Bolivia,theme,food science,0.646789844,0.002729071
Brazil,theme,food science,31.33042842,0.005573818
Chile,theme,food science,4.49035921,0.004212344
Colombia,theme,food science,2.06873005,0.005621549
Costa.Rica,theme,food science,0.249850378,0.001365303
Cuba,theme,food science,0.00221648,0.00055412
Ecuador,theme,food science,0.924208598,0.003385379
El.Salvador,theme,food science,0.003007449,0.000375931
Guatemala,theme,food science,0.01051572,0.000701048
Honduras,theme,food science,0.001252538,0.000417513
Jamaica,theme,food science,0.000649266,0.000649266
Mexico,theme,food science,8.471359048,0.003709001
Nicaragua,theme,food science,0.089820359,0.089820359
Panama,theme,food science,0.117377962,0.001057459
Paraguay,theme,food science,0.016788764,0.00050875
Peru,theme,food science,0.934453872,0.002632264
Uruguay,theme,food science,0.587411603,0.003995997
Venezuela,theme,food science,0.577116695,0.004035781
Argentina,theme,rivers,30.27351659,0.017923929
Bahamas,theme,rivers,0.000106644,0.000106644
Belize,theme,rivers,0.766214787,0.010496093
Bolivia,theme,rivers,5.017125464,0.021169306
Brazil,theme,rivers,85.52600019,0.015215442
Chile,theme,rivers,12.48106482,0.011708316
Colombia,theme,rivers,5.754917449,0.015638363
Costa.Rica,theme,rivers,1.624668795,0.008877972
Cuba,theme,rivers,0.064851757,0.016212939
Ecuador,theme,rivers,2.540925834,0.009307421
El.Salvador,theme,rivers,0.042323692,0.005290461
Guatemala,theme,rivers,0.069780837,0.004652056
Honduras,theme,rivers,0.007947706,0.002649235
Jamaica,theme,rivers,0.000129853,0.000129853
Mexico,theme,rivers,25.60979031,0.011212693
Nicaragua,theme,rivers,0.000855432,0.000855432
Panama,theme,rivers,0.65886665,0.005935736
Paraguay,theme,rivers,1.640293464,0.049705863
Peru,theme,rivers,5.659113578,0.015941165
Uruguay,theme,rivers,2.710655006,0.01843983
Venezuela,theme,rivers,2.706078595,0.018923627
Argentina,theme,amazon floods,11.5286296,0.006825713
Bahamas,theme,amazon floods,0.000319932,0.000319932
Belize,theme,amazon floods,0.304317046,0.004168727
Bolivia,theme,amazon floods,4.05993884,0.017130544
Brazil,theme,amazon floods,53.23445802,0.009470638
Chile,theme,amazon floods,1.955160531,0.001834109
Colombia,theme,amazon floods,2.998529953,0.008148179
Costa.Rica,theme,amazon floods,0.476345706,0.002602982
Cuba,theme,amazon floods,0.003286995,0.000821749
Ecuador,theme,amazon floods,0.676381902,0.002477589
El.Salvador,theme,amazon floods,0.059753686,0.007469211
Guatemala,theme,amazon floods,0.070899372,0.004726625
Honduras,theme,amazon floods,0.003042396,0.001014132
Jamaica,theme,amazon floods,0.000129853,0.000129853
Mexico,theme,amazon floods,6.379470006,0.002793113
Nicaragua,theme,amazon floods,0.000855432,0.000855432
Panama,theme,amazon floods,0.143147272,0.001289615
Paraguay,theme,amazon floods,0.869234616,0.026340443
Peru,theme,amazon floods,3.595635473,0.010128551
Uruguay,theme,amazon floods,0.517329884,0.003519251
Venezuela,theme,amazon floods,1.901670169,0.013298393
Argentina,theme,forests,14.57707004,0.008630592
Bahamas,theme,forests,0.000106644,0.000106644
Belize,theme,forests,1.016040811,0.013918367
Bolivia,theme,forests,3.498359571,0.014761011
Brazil,theme,forests,56.25748143,0.010008447
Chile,theme,forests,13.85891198,0.013000856
Colombia,theme,forests,3.145918646,0.008548692
Costa.Rica,theme,forests,4.196250175,0.022930329
Cuba,theme,forests,0.007147334,0.001786833
Ecuador,theme,forests,5.087781525,0.018636562
El.Salvador,theme,forests,0.029425265,0.003678158
Guatemala,theme,forests,0.452119223,0.030141282
Honduras,theme,forests,0.082254445,0.027418148
Jamaica,theme,forests,0.000129853,0.000129853
Mexico,theme,forests,18.65105886,0.008165963
Nicaragua,theme,forests,0.005988024,0.005988024
Panama,theme,forests,8.917144191,0.080334632
Paraguay,theme,forests,0.066878674,0.002026626
Peru,theme,forests,3.239231489,0.009124596
Uruguay,theme,forests,1.482115225,0.010082416
Venezuela,theme,forests,2.108761034,0.014746581
Argentina,theme,ecosystem management,12.13612935,0.007185393
Bahamas,theme,ecosystem management,0.000746507,0.000746507
Belize,theme,ecosystem management,1.087830546,0.014901788
Bolivia,theme,ecosystem management,2.573667837,0.010859358
Brazil,theme,ecosystem management,50.92843787,0.009060387
Chile,theme,ecosystem management,10.56178514,0.009907866
Colombia,theme,ecosystem management,6.295031441,0.017106064
Costa.Rica,theme,ecosystem management,2.764747202,0.015107908
Cuba,theme,ecosystem management,0.018750484,0.004687621
Ecuador,theme,ecosystem management,7.534269305,0.027598056
El.Salvador,theme,ecosystem management,0.027635868,0.003454483
Guatemala,theme,ecosystem management,0.155118188,0.010341213
Honduras,theme,ecosystem management,0.09577806,0.03192602
Jamaica,theme,ecosystem management,0.001688092,0.001688092
Mexico,theme,ecosystem management,25.7430068,0.011271019
Nicaragua,theme,ecosystem management,0.01283148,0.01283148
Panama,theme,ecosystem management,1.297722668,0.011691195
Paraguay,theme,ecosystem management,0.252819239,0.007661189
Peru,theme,ecosystem management,3.282763491,0.009247221
Uruguay,theme,ecosystem management,2.110042756,0.014354032
Venezuela,theme,ecosystem management,1.215127079,0.008497392
Argentina,theme,stream ecology,16.94356328,0.010031713
Bahamas,theme,stream ecology,0.000106644,0.000106644
Belize,theme,stream ecology,0.480516192,0.006582414
Bolivia,theme,stream ecology,0.812553518,0.003428496
Brazil,theme,stream ecology,58.00957037,0.010320151
Chile,theme,stream ecology,6.794184639,0.006373532
Colombia,theme,stream ecology,1.880626625,0.005110398
Costa.Rica,theme,stream ecology,6.4587218,0.035293562
Cuba,theme,stream ecology,0.005667809,0.001416952
Ecuador,theme,stream ecology,3.415671976,0.012511619
El.Salvador,theme,stream ecology,0.021059536,0.002632442
Guatemala,theme,stream ecology,0.020950868,0.001396725
Honduras,theme,stream ecology,0.003431254,0.001143751
Jamaica,theme,stream ecology,0.000649266,0.000649266
Mexico,theme,stream ecology,10.4308268,0.004566912
Nicaragua,theme,stream ecology,0.005988024,0.005988024
Panama,theme,stream ecology,3.267140612,0.029433699
Paraguay,theme,stream ecology,0.372765417,0.011295922
Peru,theme,stream ecology,2.618421359,0.007375835
Uruguay,theme,stream ecology,1.27173734,0.008651274
Venezuela,theme,stream ecology,0.764225574,0.005344235
Argentina,theme,wetlands,11.35564614,0.006723296
Bahamas,theme,wetlands,0.000106644,0.000106644
Belize,theme,wetlands,1.487465436,0.020376239
Bolivia,theme,wetlands,0.630562004,0.002660599
Brazil,theme,wetlands,14.52169509,0.002583472
Chile,theme,wetlands,2.519728246,0.002363723
Colombia,theme,wetlands,3.280712668,0.00891498
Costa.Rica,theme,wetlands,1.042041338,0.005694215
Cuba,theme,wetlands,0.041878923,0.010469731
Ecuador,theme,wetlands,0.511345976,0.001873062
El.Salvador,theme,wetlands,0.068937793,0.008617224
Guatemala,theme,wetlands,0.101110909,0.006740727
Honduras,theme,wetlands,0.001611462,0.000537154
Jamaica,theme,wetlands,0.00038956,0.00038956
Mexico,theme,wetlands,16.71165895,0.007316838
Nicaragua,theme,wetlands,0.00427716,0.00427716
Panama,theme,wetlands,0.364575914,0.003284468
Paraguay,theme,wetlands,0.334349903,0.010131815
Peru,theme,wetlands,1.198287687,0.003375458
Uruguay,theme,wetlands,0.512418222,0.003485838
Venezuela,theme,wetlands,0.396982492,0.002776101
Argentina,theme,climate change impacts,17.02401155,0.010079344
Bahamas,theme,climate change impacts,0.003092674,0.003092674
Belize,theme,climate change impacts,0.711567028,0.009747494
Bolivia,theme,climate change impacts,3.640072467,0.015358956
Brazil,theme,climate change impacts,54.84542133,0.009757236
Chile,theme,climate change impacts,16.77507893,0.015736472
Colombia,theme,climate change impacts,4.210505798,0.011441592
Costa.Rica,theme,climate change impacts,1.743698156,0.009528405
Cuba,theme,climate change impacts,0.004328719,0.00108218
Ecuador,theme,climate change impacts,4.262458084,0.0156134
El.Salvador,theme,climate change impacts,0.037484806,0.004685601
Guatemala,theme,climate change impacts,0.123997104,0.008266474
Honduras,theme,climate change impacts,0.002462657,0.000820886
Jamaica,theme,climate change impacts,0.008959875,0.008959875
Mexico,theme,climate change impacts,25.15232021,0.011012399
Nicaragua,theme,climate change impacts,0.000855432,0.000855432
Panama,theme,climate change impacts,1.051203213,0.009470299
Paraguay,theme,climate change impacts,0.2407685,0.007296015
Peru,theme,climate change impacts,8.020500299,0.022592959
Uruguay,theme,climate change impacts,1.39299568,0.009476161
Venezuela,theme,climate change impacts,0.428165144,0.002994162
Argentina,theme,paleoclimate,22.78161813,0.013488229
Bahamas,theme,paleoclimate,0.000746507,0.000746507
Belize,theme,paleoclimate,2.17425167,0.029784269
Bolivia,theme,paleoclimate,7.15566948,0.030192698
Brazil,theme,paleoclimate,39.51770498,0.007030369
Chile,theme,paleoclimate,11.50395204,0.0107917
Colombia,theme,paleoclimate,4.41343341,0.011993026
Costa.Rica,theme,paleoclimate,1.159289694,0.006334916
Cuba,theme,paleoclimate,0.024911492,0.006227873
Ecuador,theme,paleoclimate,2.831165276,0.010370569
El.Salvador,theme,paleoclimate,0.016179763,0.00202247
Guatemala,theme,paleoclimate,0.835259562,0.055683971
Honduras,theme,paleoclimate,0.060805716,0.020268572
Jamaica,theme,paleoclimate,0.00038956,0.00038956
Mexico,theme,paleoclimate,15.73342895,0.006888542
Nicaragua,theme,paleoclimate,0.002566296,0.002566296
Panama,theme,paleoclimate,1.040389182,0.009372876
Paraguay,theme,paleoclimate,0.110253352,0.003341011
Peru,theme,paleoclimate,6.156408857,0.017341997
Uruguay,theme,paleoclimate,1.956892463,0.013312194
Venezuela,theme,paleoclimate,1.321795836,0.009243328
Argentina,theme,precipitation,25.98406812,0.015384291
Bahamas,theme,precipitation,0.016956383,0.016956383
Belize,theme,precipitation,0.456343263,0.006251278
Bolivia,theme,precipitation,7.26798818,0.030666617
Brazil,theme,precipitation,75.42069201,0.013417664
Chile,theme,precipitation,20.87856269,0.019585894
Colombia,theme,precipitation,5.814475548,0.015800205
Costa.Rica,theme,precipitation,4.397068764,0.024027698
Cuba,theme,precipitation,0.013796435,0.003449109
Ecuador,theme,precipitation,6.944621076,0.025438172
El.Salvador,theme,precipitation,0.089923516,0.01124044
Guatemala,theme,precipitation,0.300018676,0.020001245
Honduras,theme,precipitation,0.02730879,0.00910293
Jamaica,theme,precipitation,0.00038956,0.00038956
Mexico,theme,precipitation,25.12382423,0.010999923
Nicaragua,theme,precipitation,0.000855432,0.000855432
Panama,theme,precipitation,2.733675138,0.024627704
Paraguay,theme,precipitation,0.99935447,0.030283469
Peru,theme,precipitation,8.013202857,0.022572402
Uruguay,theme,precipitation,3.132978349,0.021312778
Venezuela,theme,precipitation,1.830601003,0.012801406
Argentina,specific,atmospheric science/meteorology,45.50676703,0.026943024
Bahamas,specific,atmospheric science/meteorology,0.034371209,0.034371209
