"","topic","country_distance","topic_distance"
"1","engineering",0.515714232126098,0.55222873669276
"2","life sciences",0.809128580355462,0.76530874313223
"3","mathematics & statistics",0.779776049340142,0.675444438736855
"4","physical sciences",0.872500123389158,0.817842071929335
"5","social sciences",0.760657640099893,0.360914850511696
