"","topic","country_distance","topic_distance"
"1","engineering",0.904479458972747,0.56002213815936
"2","life sciences",0.872698170586411,0.772348434641497
"3","mathematics & statistics",0.868178756703449,0.648590796294525
"4","physical sciences",0.909963650990657,0.79970836866105
"5","social sciences",0.81995445554277,0.359617366055961
