"funding"
"Becas de Formacion de Profesorado Universitario"
NA
"Deutsche Forschungsgemeinschaft"
"Netherlands foundation for the advancement of tropical research"
"Office of Naval Research"
"Maryland Sea Grant"
"Fundac ¸a ~o de Amparo a Pesquisa do Estado de Sa ~o Paulo"
"CNPq"
"BMBF"
"Brazilian National Council of Scientific and Technological Development"
"Fondo para la Investigacion Cientifica y Tecnologica-Convocatoria"
"German Research Foundation"
"Mexican National Council of Science and Technology"
"FAPERJ"
"SCOR"
"Coordination of Improvement of Higher Education Personnel"
"Sixth Framework Programme for Research and Technological Development"
"Agencia Nacional de Promocion Cientifica y Tecnologica"
"CAPES foundation"
"Brazilian Agricultural Research Corporation"
"FAPESP"
"Mar del Plata National University"
"UNAM"
"CONACYT"
"UNISINOS"
"US National Science Grant"
"European Commission"
"FAPEMIG"
"US National Science Foundation"
"ANPCyT"
"NOAA Deepwater Horizon Supplemental Funding"
"Agencia Nacional de promocion cientifica y tecnica"
"CAPES"
"PQI-CAPES/BRAZIL"
"WOTRO-DGIS"
"NSF"
"CNRS"
"Nucleo de Pesquisas em Limnologia"
"IDRC"
"FONDECYT"
"INGEIS"
"Comision de investigaciones cientificas de la provincia de Buenos Aires"
"CSIC"
"International Atomic Energy Agency Technical Cooperation Project"
"Atomic Energy Agency "
"CAPES "
"CNPq "
"Swedish international development agency"
"National Science Fundation Biocomplexity Grant"
"National Science Foundation"
"United Nations Environment Program"
"National University of the Center of the Buenos Aires Province"
"Petrobras"
"CEQUA"
"Sociedad Quimica y Minera de Chile"
"Natural Environmental Research Council"
"Japan International Cooperation Agency"
"EPA STAR"
"FOND-ECYT"
"National Geographic Society"
"FAPEAM"
"FURNAS"
"Araucaria Foundation"
"DGAPA"
"CESAN"
"SER"
"Netherlands Ministry of Economic Affairs"
"PCI-AECID"
"EAWAG"
"State of São Paulo Research Foundation"
"the São Paulo Research Foundation"
"Universidad Tecnológica de Pereira"
"CONICYT,"
"National Council for Scientific and Technological Development in Brazil"
"National Council for Scientific and&#10;Technological Development"
"Conselho Nacional de&#10;Desenvolvimento Cientffico e Tecnologico"
"by Autonomus University of State of Mexico"
"National Institute for Agricultural Technology (INTA) of Argentina."
"German Ministry of Education and Science"
"Consejo Nacional de Investigaciones Científicas y&#10;Técnicas (CONICET, Argentina),"
"Ministe ´rio da Cieˆncia e Tecnologia (MCT/Brasil"
"FONDECYT 1090678 project."
"CATIE"
"Federal Technological University of Parana"
"National Science Foundation Office of the International Decade of Ocean Exploration"
"Cinvestav-multidisciplinary 685 project"
"National Council for Scientific and Technological Development"
"Wageningen"
"Inter-American Institute for Global Change Research"
"Fullbright"
"NASA"
"Funação de Amparo à Pesquisa do Estado de Minas Gerais"
"Internation Boundary and Water Commission"
"Helsinki University Centre for Environment"
"FINNIDA"
"FONCyT"
"Agencia Nacional de Promocion Cientifica y Tecnologia"
"World Bank"
"NOAA"
"INTERREG IV-TSUNAHOULE"
"CABI Europe"
"Ministry of Science and Innovation, New Zealand"
"Administracion Nacional de Puertos of Uruguay"
"COANCYT"
"PDT"
"PAPIIT"
"IOC-DANIDA"
"ANPCyT PICT"
"Sul-FAPERGS"
"Agencia Nacional de Promocion Cientifica y tecnologica"
"University of Geneva"
"Flemish inter-university council-university development cooperation program"
"AENTA"
"Southern Right Whale Monitoring Program"
"The Wildlife Conservation Society"
"CTFS"
