"","topic","country_distance","topic_distance"
"1","engineering",0.889605702449301,0.542150810371711
"2","life sciences",0.857285052417987,0.76530874313223
"3","mathematics & statistics",0.897376269321839,0.661536056077258
"4","physical sciences",0.882695452862842,0.810094052671322
"5","social sciences",0.811432187580421,0.349705801066868
