"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source-app","rec-number","foreign-keys","ref-type","contributors","titles","pages","number","dates","publisher","isbn","notes","urls","electronic-resource-num","periodical","volume","pdfs"
"279",1,"S. Ezaki, R. Hypolito, A. Pérez-Aguilar, F.A. Moschini","Waters and sediment quality assessment of the ajudante stream watershed, Salto, São Paulo State [Avaliação da qualidade das águas e sedimentos na microbacia hidrográfica do córrego do Ajudante, Salto (SP)]",2011,"Geociencias",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82555173113&partnerID=40&md5=fd4d2d6868a9f0a19bbe1bfff0d95913",NA,280,"8/10/2018","Article","",NA,NA,30,3,415,430,1,0.14,0,4,7,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","457","4570","2","Ezaki, S.Hypolito, R.Pérez-Aguilar, A.Moschini, F. A.","Waters and sediment quality assessment of the ajudante stream watershed, Salto, São Paulo State [Avaliação da qualidade das águas e sedimentos na microbacia hidrográfica do córrego do Ajudante, Salto (SP)]","415-430","Query date: 2018-08-10",2011,"NA","NA","30Cited By (since 2011): 1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82555173113&partnerID=40&md5=fd4d2d6868a9f0a19bbe1bfff0d95913",NA,NA,NA,"manual_download_portuguese/206/7184-8341-1-PB.pdf"
"471",2,"C.R.F. Faganello, M.V. Folegatti, R.A.B. Gonçalves, A.A.T. Lucas","Irrigation water use and water resource management in Marins small catchments, Piracicaba/SP [Uso da água de irrigação e gestão de recursos hídricos na microbacia do ribeirão dos Marins no município de Piracicaba/SP]",2007,"IRRIGA",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549180610&partnerID=40&md5=ae3dc4fdfd85d8099d8507299492dae5",NA,472,"8/10/2018","Article","",NA,NA,12,4,456,470,2,0.18,1,4,11,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","649","6490","2","Faganello, C. R. F.Folegatti, M. V.Gonçalves, R. A. B.Lucas, A. A. T.","Irrigation water use and water resource management in Marins small catchments, Piracicaba/SP [Uso da água de irrigação e gestão de recursos hídricos na microbacia do ribeirão dos Marins no município de Piracicaba/SP]","456-470","Query date: 2018-08-10",2007,"NA","NA","12Cited By (since 2007): 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549180610&partnerID=40&md5=ae3dc4fdfd85d8099d8507299492dae5",NA,NA,NA,"manual_download_portuguese/208/3869-34750-2-PB.pdf"
"68",1,"J.R. Faraco, N.M.R. Castro, J.A. Louzada, P.R.F. Da Silva, R. Schoenfeld, M.B. Maass, N. Pagliarini","Yield and water use efficiency of maize in rice flooded areas with different irrigation and drainage management [Rendimento de grãos e eficiência do uso de água da cultura do milho em áreas de cultivo de arroz inundado com difrente manejo de irrigação e drenagem]",2016,"IRRIGA",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019411903&doi=10.15809%2firriga.2016v1n1p274-290&partnerID=40&md5=436f74b4dc9d1532b9068a2756415f7b",NA,68,"8/10/2018","Article","10.15809/irriga.2016v1n1p274-290",NA,NA,1,1,274,290,1,0.5,0,7,2,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","151","151","2","Faraco, J. R.Castro, N. M. R.Louzada, J. A.Silva, P. R. F. DaSchoenfeld, R.Maass, M. B.Pagliarini, N.","Yield and water use efficiency of maize in rice flooded areas with different irrigation and drainage management [Rendimento de grãos e eficiência do uso de água da cultura do milho em áreas de cultivo de arroz inundado com difrente manejo de irrigação e drenagem]","274-290","Query date: 2018-08-10",2016,"NA","NA","1Cited By (since 2016): 1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019411903&doi=10.15809%2firriga.2016v1n1p274-290&partnerID=40&md5=436f74b4dc9d1532b9068a2756415f7bhttp://energia.fca.unesp.br/index.php/irriga/article/download/1986/1449internal-pdf://1250674905/Faraco-2016-Yield and water use efficiency of.pdf","10.15809/irriga.2016v1n1p274-290",NA,NA,"1250674905/Faraco-2016-Yield and water use efficiency of.pdf"
"216",6,"D.M. de Faria, A.T.B. Guimarães, T.A.V. Ludwig","Responses of periphytic diatoms to mechanical removal of Pistia stratiotes L. in a hypereutrophic subtropical reservoir: Dynamics and tolerance [Respostas das diatomáceas perifíticas à remoção mecânica de Pistia stratiotes L. num reservatório subtropical hipereurófico: Dinâmica e tolerância]",2013,"Brazilian Journal of Biology",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899974522&doi=10.1590%2fS1519-69842013000400002&partnerID=40&md5=1379a5529498ecbec7d2806aa3b58add",NA,217,"8/10/2018","Article","10.1590/S1519-69842013000400002",NA,NA,73,4,681,689,6,1.2,2,3,5,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","394","394","2","Faria, D. M. deGuimarães, A. T. B.Ludwig, T. A. V.","Responses of periphytic diatoms to mechanical removal of Pistia stratiotes L. in a hypereutrophic subtropical reservoir: Dynamics and tolerance [Respostas das diatomáceas perifíticas à remoção mecânica de Pistia stratiotes L. num reservatório subtropical hipereurófico: Dinâmica e tolerância]","681-689","Query date: 2018-08-10",2013,"NA","NA","73Cited By (since 2013): 6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899974522&doi=10.1590%2fS1519-69842013000400002&partnerID=40&md5=1379a5529498ecbec7d2806aa3b58addhttp://www.scielo.br/pdf/bjb/v73n4/1519-6984-bjb-73-04-681.pdfinternal-pdf://4119976628/Faria-2013-Responses of periphytic diatoms to.pdf","10.1590/S1519-69842013000400002",NA,NA,"4119976628/Faria-2013-Responses of periphytic diatoms to.pdf"
"400",1,"F.H.S. Faria, L.A. Lima, M.S. Ribeiro, S.R. Santos, K.M. Ribeiro","Evaluation of underground water salinity, sodicity and alkalinity for irrigation in Jaíba and Janaúba, MG, Brazil [Avaliação da salinidade, sodicidade e alcalinidade das águas subterrâneas para irrigação em Jaíba e Janaúba, Minas Gerais]",2009,"IRRIGA",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73649120927&partnerID=40&md5=b4712dfe3cf35a8b84326ef018df048a",NA,401,"8/10/2018","Article","",NA,NA,14,3,299,313,1,0.11,0,5,9,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","578","5780","2","Faria, F. H. S.Lima, L. A.Ribeiro, M. S.Santos, S. R.Ribeiro, K. M.","Evaluation of underground water salinity, sodicity and alkalinity for irrigation in Jaíba and Janaúba, MG, Brazil [Avaliação da salinidade, sodicidade e alcalinidade das águas subterrâneas para irrigação em Jaíba e Janaúba, Minas Gerais]","299-313","Query date: 2018-08-10",2009,"NA","NA","14Cited By (since 2009): 1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73649120927&partnerID=40&md5=b4712dfe3cf35a8b84326ef018df048a",NA,NA,NA,"manual_download_portuguese/211/3420-Texto do artigo-12915-1-10-20180614.pdf"
"298",5,"M.A. de Faria, A.W.P. Evangelista, P.C. de Melo, J. Alves Jr.","Crop response to irrigation and fertilization with OMM-Tech [Resposta da cultura de pinhão manso à irrigação e à adubação com OMM-Tech]",2011,"IRRIGA",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052475616&partnerID=40&md5=935f11eade43995ef4638c0a4953fbf7",NA,299,"8/10/2018","Article","",NA,NA,16,1,70,81,5,0.71,1,4,7,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","476","4760","2","Faria, M. A. deEvangelista, A. W. P.Melo, P. C. deJr, J. Alves","Crop response to irrigation and fertilization with OMM-Tech [Resposta da cultura de pinhão manso à irrigação e à adubação com OMM-Tech]","70-81","Query date: 2018-08-10",2011,"NA","NA","16Cited By (since 2011): 5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052475616&partnerID=40&md5=935f11eade43995ef4638c0a4953fbf7",NA,NA,NA,"manual_download_portuguese/212/192-Texto do artigo-464-1-10-20110830 (1).pdf"
"663",1,"Paulo Gil Siqueira de Faria, AndrÃ© Nagalli, Flavio Bentes Freire, Miguel Carlos Riella","Reuse of concentrate generated from hemodialysis clinic water treatment reverse osmosis",2016,"Engenharia Sanitaria e Ambiental",NA,NA,NA,60,"8/10/2018","Journal article","10.1590/S1413-41522016122029",NA,NA,21,2,329,336,1,0.5,0,4,2,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","134","134","17","Faria, Paulo Gil Siqueira deNagalli, AndrÃ©Freire, Flavio BentesRiella, Miguel Carlos","Reuse of concentrate generated from hemodialysis clinic water treatment reverse osmosisEngenharia Sanitaria e Ambiental","329-336","2",2016,"NA","NA","Cited By (since 2016): 1","NAhttp://www.scielo.br/pdf/esa/v21n2/1809-4457-esa-21-02-00329.pdfinternal-pdf://1365044523/Faria-2016-Reuse of concentrate generated from.pdf","10.1590/S1413-41522016122029","Engenharia Sanitaria e Ambiental","21","1365044523/Faria-2016-Reuse of concentrate generated from.pdf"
"518",10,"R.T. De Faria, R. Siqueira","Coffee and intercropping productivities under different water regimes [Produtividade do cafeeiro e cultivos intercalares sob diferentes regimes hídricos]",2005,"Bragantia",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645026906&doi=10.1590%2fS0006-87052005000400008&partnerID=40&md5=69828e624eb0a0a3b8ed413c4c9e72a4",NA,519,"8/10/2018","Article","10.1590/S0006-87052005000400008",NA,NA,64,4,583,590,10,0.77,5,2,13,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","696","696","2","Faria, R. T. DeSiqueira, R.","Coffee and intercropping productivities under different water regimes [Produtividade do cafeeiro e cultivos intercalares sob diferentes regimes hídricos]","583-590","Query date: 2018-08-10",2005,"NA","NA","64Cited By (since 2005): 10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645026906&doi=10.1590%2fS0006-87052005000400008&partnerID=40&md5=69828e624eb0a0a3b8ed413c4c9e72a4http://www.scielo.br/pdf/brag/v64n4/a08v64n4.pdfinternal-pdf://0924122589/Faria-2005-Coffee and intercropping productivi.pdf","10.1590/S0006-87052005000400008",NA,NA,"0924122589/Faria-2005-Coffee and intercropping productivi.pdf"
"512",0,"D.I.T. Fávaro, S.M.B. De Oliveira, S.R. Damatto, E. Menor, A.S. Moraes, B.P. Mazzilli","Chemical and mineralogical characterization of unconsolidated materials at the bottom of the Lagoon of Viração, Fernando de Noronha archipelago, Pernambuco [Caracterizaç?o química e mineralógica do material inconsolidado do fundo da Lagoa da viraç?o, arquipélago de fernando de noronha, pernambuco]",2006,"Geologia USP - Serie Cientifica",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749839563&doi=10.5327%2fS1519-874X2006000200001&partnerID=40&md5=cc28b555ed89095f21ab2a2a7f9b748f",NA,513,"8/10/2018","Article","10.5327/S1519-874X2006000200001",NA,NA,6,1,1,11,0,0,0,6,12,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","690","690","2","Fávaro, D. I. T.Oliveira, S. M. B. DeDamatto, S. R.Menor, E.Moraes, A. S.Mazzilli, B. P.","Chemical and mineralogical characterization of unconsolidated materials at the bottom of the Lagoon of Viração, Fernando de Noronha archipelago, Pernambuco [Caracterizaç?o química e mineralógica do material inconsolidado do fundo da Lagoa da viraç?o, arquipélago de fernando de noronha, pernambuco]","1-11","Query date: 2018-08-10",2006,"NA","NA","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749839563&doi=10.5327%2fS1519-874X2006000200001&partnerID=40&md5=cc28b555ed89095f21ab2a2a7f9b748fhttp://www.revistas.usp.br/guspsc/article/download/27413/29185internal-pdf://1788084192/Fávaro-2006-Chemical and mineralogical charact.pdf","10.5327/S1519-874X2006000200001",NA,NA,"1788084192/Fávaro-2006-Chemical and mineralogical charact.pdf"
"658",0,"ThaÃ­s de Carvalho Felicori, Eduardo Antonio Gomes Marques, Tatiana QuintÃ£o Silva, BÃ¡rbara Batista Porto, Tamila Caliman Bravin, KÃ¡ssia Mara Cota Santos","Identification of suitable areas for construction of landfill and waste selection and composting plants in the mesoregion of Zona da Mata, Minas Gerais",2016,"Engenharia Sanitaria e Ambiental",NA,NA,NA,55,"8/10/2018","Journal article","10.1590/S1413-41522016146258",NA,NA,21,3,547,560,0,0,0,6,2,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","123","123","17","Felicori, ThaÃ­s de CarvalhoMarques, Eduardo Antonio GomesSilva, Tatiana QuintÃ£oPorto, BÃ¡rbara BatistaBravin, Tamila CalimanSantos, KÃ¡ssia Mara Cota","Identification of suitable areas for construction of landfill and waste selection and composting plants in the mesoregion of Zona da Mata, Minas GeraisEngenharia Sanitaria e Ambiental","547-560","3",2016,"NA","NA",NA,"NAhttp://www.scielo.br/pdf/esa/v21n3/1809-4457-esa-21-03-00547.pdfinternal-pdf://2014975097/Felicori-2016-Identification of suitable areas.pdf","10.1590/S1413-41522016146258","Engenharia Sanitaria e Ambiental","21","2014975097/Felicori-2016-Identification of suitable areas.pdf"
"38",0,"A.J. Fernandes, B. Fiume, R. Bertolo, R.C.A. Hirata","Geometric fracture model and brittle tectonic analysis applied to the study of the crystalline aquifer flow, São Paulo (SP) [Modelo geométrico de fraturas e análise da tectônica rúptil aplicados ao estudo do fluxo do aquífero cristalino, São Paulo (SP)]",2016,"Geologia USP - Serie Cientifica",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994410905&doi=10.11606%2fissn.2316-9095.v16i3p71-88&partnerID=40&md5=626c61418fd5b0aebdebc1adaee12e19",NA,38,"8/10/2018","Article","10.11606/issn.2316-9095.v16i3p71-88",NA,NA,16,3,71,88,0,0,0,4,2,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","85","85","2","Fernandes, A. J.Fiume, B.Bertolo, R.Hirata, R. C. A.","Geometric fracture model and brittle tectonic analysis applied to the study of the crystalline aquifer flow, São Paulo (SP) [Modelo geométrico de fraturas e análise da tectônica rúptil aplicados ao estudo do fluxo do aquífero cristalino, São Paulo (SP)]","71-88","Query date: 2018-08-10",2016,"NA","NA","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994410905&doi=10.11606%2fissn.2316-9095.v16i3p71-88&partnerID=40&md5=626c61418fd5b0aebdebc1adaee12e19http://www.revistas.usp.br/guspsc/article/download/122093/118864internal-pdf://3779206541/Fernandes-2016-Geometric fracture model and br.pdf","10.11606/issn.2316-9095.v16i3p71-88",NA,NA,"3779206541/Fernandes-2016-Geometric fracture model and br.pdf"
"143",0,"C.N.V. Fernandes, B.M. De Azevedo, J.R. Do Nascimento Neto, T.V.A. De Viana, A.R. Campêlo","Economic and production performance of watermelon crop undergoing different irrigation frequency [Desempenho produtivo e econômico da cultura da melancia submetida a diferentes turnos de rega]",2014,"IRRIGA",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899767470&partnerID=40&md5=14ded6c9e83cffdab65297c11121047d",NA,144,"8/10/2018","Article","",NA,NA,19,1,149,159,0,0,0,5,4,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","301","3010","2","Fernandes, C. N. V.Azevedo, B. M. DeNeto, J. R. Do NascimentoViana, T. V. A. DeCampêlo, A. R.","Economic and production performance of watermelon crop undergoing different irrigation frequency [Desempenho produtivo e econômico da cultura da melancia submetida a diferentes turnos de rega]","149-159","Query date: 2018-08-10",2014,"NA","NA","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899767470&partnerID=40&md5=14ded6c9e83cffdab65297c11121047d",NA,NA,NA,"manual_download_portuguese/218/728-Texto do artigo-6141-1-10-20141016.pdf"
"209",2,"M. Ferrareze, M.G. Nogueira","Phytoplankton assemblages in lateral lagoons of a large tropical reservoir [Assembleias fitoplanctônicas em lagoas laterais de um reservatório tropical de grande porte]",2013,"Brazilian Journal of Biology",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876864332&doi=10.1590%2fS1519-69842013000100017&partnerID=40&md5=3beb7feca2d7d563f03a2512efc3cb6c",NA,210,"8/10/2018","Article","10.1590/S1519-69842013000100017",NA,NA,73,1,163,171,2,0.4,1,2,5,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","387","387","2","Ferrareze, M.Nogueira, M. G.","Phytoplankton assemblages in lateral lagoons of a large tropical reservoir [Assembleias fitoplanctônicas em lagoas laterais de um reservatório tropical de grande porte]","163-171","Query date: 2018-08-10",2013,"NA","NA","73Cited By (since 2013): 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876864332&doi=10.1590%2fS1519-69842013000100017&partnerID=40&md5=3beb7feca2d7d563f03a2512efc3cb6chttp://www.scielo.br/pdf/bjb/v73n1/17.pdfinternal-pdf://2067081911/Ferrareze-2013-Phytoplankton assemblages in la.pdf","10.1590/S1519-69842013000100017",NA,NA,"2067081911/Ferrareze-2013-Phytoplankton assemblages in la.pdf"
"313",5,"A.P. Ferreira","Assessment of heavy metals in egretta thula. Case study: Coroa grande mangrove, Sepetiba Bay, Rio de Janeiro, Brazil [Avaliação de metais pesados em Egretta thula. Estudo de caso: Manguezal de Coroa Grande, Baía de Sepetiba, Rio de Janeiro, Brasil]",2011,"Brazilian Journal of Biology",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953172623&doi=10.1590%2fS1519-69842011000100012&partnerID=40&md5=f3a3ddb4bc3b651247e050812f0df735",NA,314,"8/10/2018","Article","10.1590/S1519-69842011000100012",NA,NA,71,1,77,82,5,0.71,5,1,7,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","491","491","2","Ferreira, A. P.","Assessment of heavy metals in egretta thula. Case study: Coroa grande mangrove, Sepetiba Bay, Rio de Janeiro, Brazil [Avaliação de metais pesados em Egretta thula. Estudo de caso: Manguezal de Coroa Grande, Baía de Sepetiba, Rio de Janeiro, Brasil]","77-82","Query date: 2018-08-10",2011,"NA","NA","71Cited By (since 2011): 5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953172623&doi=10.1590%2fS1519-69842011000100012&partnerID=40&md5=f3a3ddb4bc3b651247e050812f0df735internal-pdf://4194334981/Ferreira-2011-Assessment of heavy metals in eg.pdf","10.1590/S1519-69842011000100012",NA,NA,"4194334981/Ferreira-2011-Assessment of heavy metals in eg.pdf"
"709",1,"Danieli Mara Ferreira, Cynara Cunha","Numerical simulation of the temperature dynamics at Rio Verde Reservoir",2013,"Engenharia Sanitaria e Ambiental",NA,NA,NA,106,"8/10/2018","Journal article","10.1590/S1413-41522013000100010",NA,NA,18,1,83,93,1,0.2,1,2,5,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","226","226","17","Ferreira, Danieli MaraCunha, Cynara","Numerical simulation of the temperature dynamics at Rio Verde ReservoirEngenharia Sanitaria e Ambiental","83-93","1",2013,"NA","NA","Cited By (since 2013): 1","NAhttp://www.scielo.br/pdf/esa/v18n1/a10v18n1.pdfinternal-pdf://0354238647/Ferreira-2013-Numerical simulation of the temp.pdf","10.1590/S1413-41522013000100010","Engenharia Sanitaria e Ambiental","18","0354238647/Ferreira-2013-Numerical simulation of the temp.pdf"
"605",0,"Thays Santos Ferreira, Ademir Paceli Barbassa, Rodrigo Braga Moruzzi","Stormwater source control with infiltration wells under a new conception",2018,"Engenharia Sanitaria e Ambiental",NA,NA,NA,2,"8/10/2018","Journal article","10.1590/s1413-41522018161116",NA,NA,23,3,437,446,0,0,0,3,1,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","7","7","17","Ferreira, Thays SantosBarbassa, Ademir PaceliMoruzzi, Rodrigo Braga","Stormwater source control with infiltration wells under a new conceptionEngenharia Sanitaria e Ambiental","437-446","3",2018,"NA","NA",NA,"NAhttp://www.scielo.br/pdf/esa/v23n3/1809-4457-esa-23-03-437.pdfinternal-pdf://1541232014/Ferreira-2018-Stormwater source control with i.pdf","10.1590/s1413-41522018161116","Engenharia Sanitaria e Ambiental","23","1541232014/Ferreira-2018-Stormwater source control with i.pdf"
"726",0,"VinÃ­cius Verna M Ferreira, Carlos Barreira Martinez, Bruno Rabelo Versiani, Rosana AngÃ©lica M Santos","Human health externalities studies derived from hydropower plants reservoirs",2011,"Engenharia Sanitaria e Ambiental",NA,NA,NA,123,"8/10/2018","Journal article","10.1590/S1413-41522011000200008",NA,NA,16,2,149,156,0,0,0,4,7,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","260","260","17","Ferreira, VinÃ­cius Verna M.Martinez, Carlos BarreiraVersiani, Bruno RabeloSantos, Rosana AngÃ©lica M.","Human health externalities studies derived from hydropower plants reservoirsEngenharia Sanitaria e Ambiental","149-156","2",2011,"NA","NA",NA,"NAhttp://www.scielo.br/pdf/esa/v16n2/v16n2a08.pdfinternal-pdf://3072891592/Ferreira-2011-Human health externalities studi.pdf","10.1590/S1413-41522011000200008","Engenharia Sanitaria e Ambiental","16","3072891592/Ferreira-2011-Human health externalities studi.pdf"
"314",29,"W.R. Ferreira, L.T. Paiva, M. Callisto","Development of a benthic multimetric index for biomonitoring of a neotropical watershed [Desenvolvimento de um Índice Multimétrico Bentônico para o biomonitoramento de uma bacia hidrográfica neotropical]",2011,"Brazilian Journal of Biology",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953208078&doi=10.1590%2fS1519-69842011000100005&partnerID=40&md5=37a960d8f02d711b1b91ca7c62c3b209",NA,315,"8/10/2018","Article","10.1590/S1519-69842011000100005",NA,NA,71,1,15,25,29,4.14,10,3,7,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","492","492","2","Ferreira, W. R.Paiva, L. T.Callisto, M.","Development of a benthic multimetric index for biomonitoring of a neotropical watershed [Desenvolvimento de um Índice Multimétrico Bentônico para o biomonitoramento de uma bacia hidrográfica neotropical]","15-25","Query date: 2018-08-10",2011,"NA","NA","71Cited By (since 2011): 29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953208078&doi=10.1590%2fS1519-69842011000100005&partnerID=40&md5=37a960d8f02d711b1b91ca7c62c3b209internal-pdf://2506527607/Ferreira-2011-Development of a benthic multime.pdf","10.1590/S1519-69842011000100005",NA,NA,"2506527607/Ferreira-2011-Development of a benthic multime.pdf"
"760",2,"Maria ClÃ©a Brito de FigueirÃªdo, LÃºcia de FÃ¡tima Pereira AraÃºjo, Morsyleide de Freitas Rosa, LÃºcia de FÃ¡tima SabÃ³ia de Morais, Walt Disney Paulino, Raimundo Bemvindo Gomes","Environmental impacts of the inland shrimp farming",2006,"Engenharia Sanitaria e Ambiental",NA,NA,NA,157,"8/10/2018","Journal article","10.1590/S1413-41522006000300006",NA,NA,11,3,231,240,2,0.17,0,6,12,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","328","328","17","FigueirÃªdo, Maria ClÃ©a Brito deAraÃºjo, LÃºcia de FÃ¡tima PereiraRosa, Morsyleide de FreitasMorais, LÃºcia de FÃ¡tima SabÃ³ia dePaulino, Walt DisneyGomes, Raimundo Bemvindo","Environmental impacts of the inland shrimp farmingEngenharia Sanitaria e Ambiental","231-240","3",2006,"NA","NA","Cited By (since 2006): 2","NAhttp://www.scielo.br/pdf/esa/v11n3/a06v11n3.pdfinternal-pdf://2213718625/FigueirÃªdo-2006-Environmental impacts of the.pdf","10.1590/S1413-41522006000300006","Engenharia Sanitaria e Ambiental","11","2213718625/FigueirÃªdo-2006-Environmental impacts of the.pdf"
"747",8,"Maria ClÃ©a Brito de FigueirÃªdo, Adunias S. Teixeira, LÃºcia de FÃ¡tima Pereira AraÃºjo, Morsyleide Freitas Rosa, Walt Disney Paulino, SuetÃ´nio Mota, JosÃ© Carlos AraÃºjo","Evaluation of reservoirs environmental vulnerability to eutrophication",2007,"Engenharia Sanitaria e Ambiental",NA,NA,NA,144,"8/10/2018","Journal article","10.1590/S1413-41522007000400006",NA,NA,12,4,399,409,8,0.73,1,7,11,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","302","302","17","FigueirÃªdo, Maria ClÃ©a Brito deTeixeira, Adunias S.AraÃºjo, LÃºcia de FÃ¡tima PereiraRosa, Morsyleide FreitasPaulino, Walt DisneyMota, SuetÃ´nioAraÃºjo, JosÃ© Carlos","Evaluation of reservoirs environmental vulnerability to eutrophicationEngenharia Sanitaria e Ambiental","399-409","4",2007,"NA","NA","Cited By (since 2007): 8","NAhttp://www.scielo.br/pdf/esa/v12n4/a06v12n4.pdfinternal-pdf://0082742093/FigueirÃªdo-2007-Evaluation of reservoirs envi.pdf","10.1590/S1413-41522007000400006","Engenharia Sanitaria e Ambiental","12","0082742093/FigueirÃªdo-2007-Evaluation of reservoirs envi.pdf"
"446",9,"S.F. Figuerêdo, E.J. Pozzebon, J.A. Frizzone, J.A. de Azevedo, A.F. Guerra, E.M. da Silva","Management of drybean irrigation based on technical and economical criterian in Cerrado [Gerenciamento da irrigação do feijoeiro baseado em critérios técnicos e econômicos no Cerrado]",2008,"IRRIGA",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049185128&partnerID=40&md5=62ad50c687103d9cf4c33201b0eec577",NA,447,"8/10/2018","Article","",NA,NA,13,3,378,391,9,0.9,2,6,10,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","624","6240","2","Figuerêdo, S. F.Pozzebon, E. J.Frizzone, J. A.Azevedo, J. A. deGuerra, A. F.Silva, E. M. da","Management of drybean irrigation based on technical and economical criterian in Cerrado [Gerenciamento da irrigação do feijoeiro baseado em critérios técnicos e econômicos no Cerrado]","378-391","Query date: 2018-08-10",2008,"NA","NA","13Cited By (since 2008): 9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049185128&partnerID=40&md5=62ad50c687103d9cf4c33201b0eec577",NA,NA,NA,"manual_download_portuguese/233/3378-Texto do artigo-12830-1-10-20180614.pdf"
"628",0,"AntÃ´nio Alves de Oliveira Filho, Iran Eduardo Lima Neto","Water quality modeling at Poti river in Teresina (PiauÃ­, Brazil)",2017,"Engenharia Sanitaria e Ambiental",NA,NA,NA,25,"8/10/2018","Journal article","10.1590/s1413-41522017142354",NA,NA,23,1,3,14,0,0,0,2,1,"portuguese","in corpus","DOI present","portuguese.enl","EndNote","56","56","17","Filho, AntÃ´nio Alves de OliveiraNeto, Iran Eduardo Lima","Water quality modeling at Poti river in Teresina (PiauÃ­, Brazil)Engenharia Sanitaria e Ambiental","3-14","1",2017,"NA","NA",NA,"NAhttp://www.scielo.br/pdf/esa/v23n1/1809-4457-esa-s1413-41522017142354.pdfinternal-pdf://2309930091/Filho-2017-Water quality modeling at Poti rive.pdf","10.1590/s1413-41522017142354","Engenharia Sanitaria e Ambiental","23","2309930091/Filho-2017-Water quality modeling at Poti rive.pdf"
"221",0,"E.F. Da Rosa Filho","Surface water quality and groundwater, Iraí river basin [Qualidade das águas superficiais e subterrâneas Da bacia hidrográfica do Iraí]",2012,"Boletim Paranaense de Geosciencias",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880012123&partnerID=40&md5=f71e4a311cf90c4d8aa0c9d3244520d2",NA,222,"8/10/2018","Article","",NA,NA,NA,66,41,50,0,0,0,1,6,"portuguese","in corpus","DOI absent","portuguese.enl","EndNote","399","3990","2","Filho, E. F. Da Rosa","Surface water quality and groundwater, Iraí river basin [Qualidade das águas superficiais e subterrâneas Da bacia hidrográfica do Iraí]","41-50","Query date: 2018-08-10",2012,"NA","NA",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880012123&partnerID=40&md5=f71e4a311cf90c4d8aa0c9d3244520d2",NA,NA,NA,"manual_download_portuguese/236/236.pdf"
